FID_377_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_SL,Cat_Zona,Pit,Cat_Bench,Bench,Camino,Tramo,Pendiente,MC,Cat_Carga
385482,93948,346414,37,"134595.75","35521.51",3127,71,2021,8,22,12,23,58,-24.246977,-68.978532,502385.4752,7318777.241,25710.26222,110387.5609,3108.61181641,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385503,226306,138520,38,"168401.4","37494.94",3123,66,2021,8,28,22,45,3,-24.246977,-68.978653,502373.1915,7318777.243,25697.9785,110387.5628,3113.33447266,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385492,180722,65383,38,"149923.27","36460",3124,55,2021,8,25,14,12,17,-24.246977,-68.978707,502367.7095,7318777.244,25692.49651,110387.5636,3116.11645508,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385528,232674,144888,35,"169746.2","-----",3115,128,2021,8,29,3,48,42,-24.246975,-68.976783,502563.0309,7318777.434,25887.81788,110387.7539,3106.53515625,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385599,590378,141462,39,"266227.84","-----",3119,120,2021,9,30,13,8,11,-24.246975,-68.976792,502562.1172,7318777.434,25886.90421,110387.7541,3106.5065918,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385564,455453,6425,41,"236021.68","41315.47",3117,117,2021,9,20,12,56,36,-24.246967,-68.976868,502554.402,7318778.321,25879.18896,110388.6411,3106.23974609,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385490,180591,65252,22,"149880.4","36457.33",3087,97,2021,8,25,14,5,40,-24.246967,-69.0019,500013.1942,7318778.514,23337.98116,110388.8345,3085.10693359,47,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T31",3.84,"1",""
385552,364431,169833,36,"220626.94","40213.55",3144,108,2021,9,16,23,35,36,-24.246965,-68.977028,502538.1591,7318778.545,25862.94606,110388.8652,3105.8137207,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385580,539762,90734,44,"259339.73","-----",3116,55,2021,9,25,18,27,47,-24.246965,-68.978568,502381.8208,7318778.57,25706.60776,110388.8901,3109.60571289,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385572,515563,66535,28,"249418.35","-----",3103,101,2021,9,23,17,54,8,-24.246965,-69.002152,499987.6115,7318778.736,23312.39853,110389.0555,3083.93481445,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
