FID_886_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_en,Bench,Cat_Bench,Rampa,MC,Pendiente,Tramo,Pit,Cat_Zona,Cat_Carga
8962,11885,11999,6,"732173.49","47797.03",3122,210,2021,8,23,18,50,1,-24.220368,-69.041603,495981.7326,7321722.924,19306.51956,113333.2443,3126.76000977,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8976,13646,13760,10,"732449.74","-----",3143,34,2021,8,23,20,38,42,-24.220368,-69.040947,496048.3425,7321722.944,19373.12946,113333.264,3158.76147461,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8961,11884,11998,7,"732172.54","47797.02",3122,205,2021,8,23,18,49,59,-24.220337,-69.041595,495982.5439,7321726.357,19307.33086,113336.6769,3126.22509766,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8972,11962,12076,7,"732189.11","47797.43",3158,26,2021,8,23,18,52,19,-24.220337,-69.040917,496051.3876,7321726.377,19376.17464,113336.6972,3159.47460938,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8957,13647,13761,10,"732449.74","47809.07",3144,41,2021,8,23,20,38,43,-24.220327,-69.040908,496052.3012,7321727.485,19377.08817,113337.8047,3159.64331055,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8958,13648,13762,10,"732449.74","47809.08",3145,34,2021,8,23,20,38,44,-24.220308,-69.040893,496053.8236,7321729.589,19378.61065,113339.9088,3159.85766602,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8955,11963,12077,7,"732189.11","-----",3157,30,2021,8,23,18,52,22,-24.2203,-69.040893,496053.8234,7321730.475,19378.61039,113340.7946,3159.92919922,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8954,11883,11997,10,"732172.54","47797.01",3121,214,2021,8,23,18,49,56,-24.220263,-69.04155,495987.1107,7321734.551,19311.8977,113344.8715,3124.75048828,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8953,11882,11996,12,"732170.97","47797.01",3120,206,2021,8,23,18,49,54,-24.220218,-69.041535,495988.6323,7321739.534,19313.41931,113349.8543,3124.14672852,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8956,13582,13696,11,"-----","-----",3100,201,2021,8,23,20,36,15,-24.220193,-69.041412,496001.1209,7321742.306,19325.90786,113352.626,3125.81591797,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8942,11881,11995,12,"732170.97","-----",3119,191,2021,8,23,18,49,52,-24.220175,-69.041512,495990.9663,7321744.296,19315.75331,113354.616,3123.65332031,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8947,13581,13695,11,"732432.92","-----",3099,200,2021,8,23,20,36,14,-24.220162,-69.041405,496001.8306,7321745.739,19326.61762,113356.0586,3125.70239258,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8948,13649,13763,9,"732450.69","-----",3148,31,2021,8,23,20,38,52,-24.22016,-69.040795,496063.7697,7321745.978,19388.55674,113356.2982,3161.78979492,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8949,13650,13764,10,"732452.25","47809.1",3149,28,2021,8,23,20,38,53,-24.220115,-69.040763,496067.0176,7321750.962,19391.80455,113361.2816,3162.38964844,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8943,11964,12078,10,"732191.63","47797.46",3159,33,2021,8,23,18,52,30,-24.22011,-69.040763,496067.0174,7321751.515,19391.80439,113361.8352,3162.47143555,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8946,13580,13694,12,"732431.35","-----",3099,195,2021,8,23,20,36,12,-24.220107,-69.041382,496004.1642,7321751.829,19328.95123,113362.1488,3125.23144531,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8941,11880,11994,12,"732170.97","47796.99",3118,194,2021,8,23,18,49,48,-24.220098,-69.041482,495994.01,7321752.822,19318.79696,113363.1423,3122.85766602,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8944,11965,12079,10,"732191.63","-----",3159,35,2021,8,23,18,52,32,-24.220087,-69.040742,496069.149,7321754.062,19393.93598,113364.3823,3162.80908203,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8945,13579,13693,12,"732431.35","47808.63",3099,196,2021,8,23,20,36,10,-24.220078,-69.041367,496005.6864,7321755.04,19330.47337,113365.3602,3125.25488281,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8932,11966,12080,10,"732191.63","47797.47",3159,27,2021,8,23,18,52,33,-24.220038,-69.04071,496072.3967,7321759.489,19397.18367,113369.8085,3163.5925293,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8931,11879,11993,11,"732170.33","47796.98",3116,189,2021,8,23,18,49,45,-24.220027,-69.04145,495997.2569,7321760.684,19322.0439,113371.0044,3121.89208984,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8935,13578,13692,12,"732431.35","47808.62",3099,203,2021,8,23,20,36,7,-24.21999,-69.041337,496008.7297,7321764.784,19333.51668,113375.1044,3125.02783203,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8936,13651,13765,10,"732452.25","47809.12",3152,20,2021,8,23,20,38,59,-24.21997,-69.04068,496075.4407,7321767.018,19400.22767,113377.3384,3164.32104492,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8930,11878,11992,8,"732170.33","47796.98",3116,196,2021,8,23,18,49,44,-24.219968,-69.041435,495998.7781,7321767.217,19323.56506,113377.5373,3121.20654297,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8933,11967,12081,11,"732191.63","47797.48",3159,21,2021,8,23,18,52,36,-24.21995,-69.040665,496076.9631,7321769.233,19401.75012,113379.5532,3164.61376953,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8929,11877,11991,8,"732170.33","-----",3116,201,2021,8,23,18,49,42,-24.219947,-69.04142,496000.3005,7321769.543,19325.08747,113379.8628,3121.05175781,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8937,13652,13766,10,"732452.25","47809.12",3152,26,2021,8,23,20,39,0,-24.21994,-69.040665,496076.9628,7321770.34,19401.7498,113380.6604,3164.69799805,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8934,11968,12082,11,"732191.63","47797.48",3159,30,2021,8,23,18,52,37,-24.219923,-69.04065,496078.4853,7321772.223,19403.27235,113382.5431,3165.01367188,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8928,11876,11990,8,"732170.33","47796.97",3116,202,2021,8,23,18,49,41,-24.21992,-69.041412,496001.1119,7321772.533,19325.8989,113382.8525,3120.79492188,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8938,13653,13767,10,"732452.25","-----",3152,22,2021,8,23,20,39,2,-24.219907,-69.040665,496076.9617,7321773.994,19401.74874,113384.3141,3164.90966797,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8924,13577,13691,10,"732431.35","47808.61",3098,193,2021,8,23,20,36,4,-24.219895,-69.041298,496012.6866,7321775.304,19337.47362,113385.6239,3125.02099609,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8916,11969,12083,11,"732191.63","47797.49",3159,24,2021,8,23,18,52,39,-24.219873,-69.040603,496083.2561,7321777.76,19408.04311,113388.0804,3165.75097656,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8915,11875,11989,8,"732170.33","47796.97",3115,208,2021,8,23,18,49,39,-24.219865,-69.04139,496003.344,7321778.623,19328.13097,113388.9428,3120.38110352,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8923,13576,13690,10,"732431.35","47808.61",3098,195,2021,8,23,20,36,3,-24.219863,-69.04129,496013.4979,7321778.847,19338.28489,113389.1672,3124.98242188,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8917,11970,12084,12,"732191.63","47797.5",3159,32,2021,8,23,18,52,41,-24.219825,-69.04058,496085.59,7321783.076,19410.37698,113393.3957,3166.24072266,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8922,13575,13689,9,"732431.35","-----",3097,204,2021,8,23,20,36,2,-24.219808,-69.041267,496015.8315,7321784.937,19340.61851,113395.2575,3124.97412109,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8918,11971,12085,11,"732191.64","-----",3159,28,2021,8,23,18,52,42,-24.219798,-69.040565,496087.1122,7321786.066,19411.89921,113396.3855,3166.54394531,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8921,13574,13688,10,"732429.13","47808.6",3097,206,2021,8,23,20,36,0,-24.219788,-69.04126,496016.5416,7321787.152,19341.32864,113397.4721,3125.01489258,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8919,11972,12086,11,"732191.64","47797.5",3160,22,2021,8,23,18,52,43,-24.219775,-69.040558,496087.8223,7321788.612,19412.60926,113398.9323,3166.81884766,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
8920,13573,13687,10,"732429.13","47808.6",3097,201,2021,8,23,20,35,59,-24.219768,-69.041252,496017.3533,7321789.367,19342.1403,113399.6867,3124.77612305,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8925,13654,13768,10,"732453.24","47809.15",3154,16,2021,8,23,20,39,7,-24.219768,-69.040597,496083.862,7321789.386,19408.64897,113399.7062,3166.60546875,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8909,13572,13686,10,"732429.13","47808.59",3096,213,2021,8,23,20,35,58,-24.21975,-69.041237,496018.8758,7321791.36,19343.66281,113401.6801,3124.95239258,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8908,13571,13685,10,"732429.13","47808.59",3096,219,2021,8,23,20,35,57,-24.219737,-69.041222,496020.3985,7321792.8,19345.18549,113403.1199,3125.17016602,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
8907,13570,13684,10,"732429.13","47808.59",3096,210,2021,8,23,20,35,56,-24.219718,-69.041198,496022.8348,7321794.904,19347.62183,113405.2243,3125.25341797,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
