FID_888_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_SL,Cat_Zona,Pit,Cat_Bench,Bench,Camino,Tramo,Pendiente,MC,Cat_Carga
28410,79789,53402,50,"611160.06","-----",3044,265,2021,8,26,0,15,51,-24.262048,-69.01242,498945.3696,7317108.689,22270.1566,108719.0088,3056.44506836,0,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 5 m","",0.0,"",""
28513,273495,50778,52,"670503.57","65102.19",3061,269,2021,9,9,3,53,20,-24.262027,-69.012543,498932.8841,7317111.013,22257.67111,108721.3328,3056.26293945,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28409,79788,53401,51,"611160.06","61407.69",3042,269,2021,8,26,0,15,45,-24.262022,-69.011727,499015.7133,7317111.574,22340.50029,108721.8936,3057.41357422,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28411,79790,53403,58,"611161.41","-----",3054,273,2021,8,26,0,16,1,-24.262013,-69.014053,498779.6093,7317112.548,22104.39626,108722.8682,3055.06884766,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28370,1060,137630,54,"583043.26","-----",3063,267,2021,8,17,10,10,19,-24.262013,-69.011818,499006.4761,7317112.569,22331.26312,108722.8893,3057.41259766,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28371,1061,137631,54,"583043.26","59531.36",3063,270,2021,8,17,10,10,20,-24.262008,-69.01197,498991.0471,7317113.122,22315.8341,108723.4416,3057.26391602,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28532,296217,73628,40,"678992.85","65305.59",3060,274,2021,9,10,16,24,50,-24.262007,-69.012543,498932.8839,7317113.227,22257.67091,108723.5472,3056.31469727,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28533,296218,73629,43,"678992.85","-----",3058,273,2021,9,10,16,24,53,-24.262,-69.012962,498890.3526,7317113.998,22215.13964,108724.3183,3055.80517578,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28514,273496,50779,55,"670503.57","-----",3062,272,2021,9,9,3,53,24,-24.261985,-69.012993,498887.2058,7317115.659,22211.99278,108725.9788,3055.86425781,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28495,233821,10984,60,"657766.45","64618.9",3058,268,2021,9,6,21,47,10,-24.26198,-69.011582,499030.4313,7317116.225,22355.21834,108726.5451,3057.65600586,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28510,273492,50775,50,"670503.57","-----",3059,261,2021,9,9,3,53,14,-24.26198,-69.01149,499039.7699,7317116.226,22364.55693,108726.5458,3057.89892578,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28509,273491,50774,50,"670503.57","65102.08",3059,259,2021,9,9,3,53,12,-24.26198,-69.011345,499054.4884,7317116.227,22379.27537,108726.547,3058.22900391,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28511,273493,50776,50,"670503.57","65102.11",3060,264,2021,9,9,3,53,15,-24.261975,-69.011627,499025.8635,7317116.778,22350.6505,108727.0983,3057.52075195,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28494,233820,10983,60,"657766.45","64618.87",3057,263,2021,9,6,21,47,8,-24.261975,-69.01123,499066.1616,7317116.782,22390.94856,108727.1016,3058.25805664,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28408,79787,53400,50,"611160.06","61407.65",3043,264,2021,8,26,0,15,42,-24.261973,-69.011315,499057.5335,7317117.002,22382.3205,108727.3223,3058.203125,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28512,273494,50777,51,"670503.57","-----",3060,266,2021,9,9,3,53,16,-24.261968,-69.011772,499011.145,7317117.552,22335.932,108727.8721,3057.41918945,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28369,1059,137629,54,"583042.32","59531.28",3064,265,2021,8,17,10,10,14,-24.261968,-69.011208,499068.3946,7317117.557,22393.18164,108727.8768,3058.25366211,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28419,82303,55916,50,"611918.18","61473.46",3063,264,2021,8,26,2,45,54,-24.261962,-69.011132,499076.1091,7317118.222,22400.89608,108728.5417,3058.26513672,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28420,82304,55917,52,"611918.18","61473.53",3063,269,2021,8,26,2,46,0,-24.261955,-69.012002,498987.7984,7317118.989,22312.58539,108729.3095,3057.24194336,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28444,114876,88653,51,"619546.46","62028.27",3054,270,2021,8,27,12,2,27,-24.261955,-69.011848,499003.4304,7317118.991,22328.21739,108729.3108,3057.41577148,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
27960,78537,52150,47,"610787.11","-----",3041,270,2021,8,25,23,2,21,-24.261953,-69.014435,498740.8331,7317119.187,22065.62012,108729.5075,3055.43383789,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28335,296963,74374,61,"679398.77","65317.18",3037,268,2021,9,10,17,45,5,-24.261953,-69.011978,498990.2345,7317119.211,22315.02153,108729.5311,3057.30444336,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
27993,82305,55918,52,"611918.18","-----",3063,268,2021,8,26,2,46,2,-24.261952,-69.012147,498973.0799,7317119.32,22297.86692,108729.6403,3057.03369141,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28334,296962,74373,62,"679398.77","-----",3036,266,2021,9,10,17,45,4,-24.26195,-69.011818,499006.4755,7317119.545,22331.26253,108729.8647,3057.39575195,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28145,142670,116558,47,"626392.79","62516.11",3058,257,2021,8,28,16,16,31,-24.261948,-69.010833,499106.4594,7317119.774,22431.2464,108730.0942,3058.5871582,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
27890,2802,139372,44,"583680.79","-----",3061,270,2021,8,17,12,15,50,-24.261945,-69.012275,498960.087,7317120.094,22284.87403,108730.4143,3056.90966797,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28094,118103,91880,60,"620359.66","62100.87",3054,262,2021,8,27,15,43,48,-24.261945,-69.0111,499079.3571,7317120.104,22404.14414,108730.4242,3058.29785156,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28093,118102,91879,60,"620359.66","62100.85",3055,257,2021,8,27,15,43,47,-24.261945,-69.010948,499094.7861,7317120.105,22419.57312,108730.4255,3058.34887695,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28238,233822,10985,62,"657766.49","-----",3059,272,2021,9,6,21,47,16,-24.261943,-69.012443,498943.0339,7317120.314,22267.82092,108730.6342,3056.5715332,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
27889,2801,139371,45,"583680.71","59565.17",3061,267,2021,8,17,12,15,42,-24.261943,-69.011437,499045.1494,7317120.323,22369.93644,108730.6429,3058.00561523,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
27961,78538,52151,45,"610788.23","-----",3041,270,2021,8,25,23,2,23,-24.261942,-69.014678,498716.1669,7317120.403,22040.95392,108730.7228,3055.32421875,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28095,118104,91881,60,"620359.66","62100.9",3054,268,2021,8,27,15,43,50,-24.261942,-69.011398,499049.1082,7317120.434,22373.89518,108730.754,3058.11352539,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28115,130558,104385,43,"623512","62310.74",3063,267,2021,8,28,3,47,8,-24.261942,-69.011307,499058.3453,7317120.435,22383.13227,108730.7547,3058.20141602,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28237,233819,10982,60,"657766.12","-----",3057,258,2021,9,6,21,47,6,-24.261942,-69.010918,499097.8313,7317120.438,22422.61829,108730.7579,3058.43408203,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28297,273490,50773,48,"670502.29","65102.03",3058,252,2021,9,9,3,53,8,-24.261942,-69.010818,499107.9819,7317120.439,22432.76894,108730.7587,3058.58789063,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28148,142673,116561,49,"626393.29","62516.2",3058,269,2021,8,28,16,16,37,-24.26194,-69.011635,499025.0511,7317120.653,22349.83813,108730.9734,3057.47558594,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
28116,130559,104386,43,"623512.18","-----",3063,270,2021,8,28,3,47,11,-24.26194,-69.011535,499035.2018,7317120.654,22359.98877,108730.9743,3057.76245117,5,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
27878,1062,137632,52,"583044.35","-----",3062,270,2021,8,17,10,10,29,-24.261938,-69.013298,498856.2458,7317120.86,22181.03282,108731.1798,3055.70776367,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
28350,305703,83172,54,"684239.07","65348.33",3051,272,2021,9,11,12,21,6,-24.261937,-69.012345,498952.9815,7317120.979,22277.76849,108731.2994,3056.72363281,6,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T1",0.65,"0",""
